observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
conn24_zwe_internet,ZWE,2024,INTERNET_USER_SHARE,42,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_rus_internet,RUS,2024,INTERNET_USER_SHARE,94,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_aus_internet,AUS,2024,INTERNET_USER_SHARE,96,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
ren24_afg_renew,AFG,2024,RENEWABLE_ELECTRICITY_SHARE,86.87,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_mng_renew,MNG,2024,RENEWABLE_ELECTRICITY_SHARE,8.84,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_fji_renew,FJI,2024,RENEWABLE_ELECTRICITY_SHARE,63.48,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_usa_renew,USA,2024,RENEWABLE_ELECTRICITY_SHARE,24.06,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_geo_renew,GEO,2024,RENEWABLE_ELECTRICITY_SHARE,79.83,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_lca_renew,LCA,2024,RENEWABLE_ELECTRICITY_SHARE,2.5,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_omn_renew,OMN,2024,RENEWABLE_ELECTRICITY_SHARE,4.89,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_bhs_renew,BHS,2024,RENEWABLE_ELECTRICITY_SHARE,0.89,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_civ_renew,CIV,2024,RENEWABLE_ELECTRICITY_SHARE,28.92,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_bra_renew,BRA,2024,RENEWABLE_ELECTRICITY_SHARE,87.33,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_can_renew,CAN,2024,RENEWABLE_ELECTRICITY_SHARE,64.27,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_chn_renew,CHN,2024,RENEWABLE_ELECTRICITY_SHARE,33.7,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_deu_renew,DEU,2024,RENEWABLE_ELECTRICITY_SHARE,58.64,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_fra_renew,FRA,2024,RENEWABLE_ELECTRICITY_SHARE,27.18,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_gbr_renew,GBR,2024,RENEWABLE_ELECTRICITY_SHARE,50.65,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_ind_renew,IND,2024,RENEWABLE_ELECTRICITY_SHARE,19.81,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_idn_renew,IDN,2024,RENEWABLE_ELECTRICITY_SHARE,18.09,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_jpn_renew,JPN,2024,RENEWABLE_ELECTRICITY_SHARE,22.94,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_kor_renew,KOR,2024,RENEWABLE_ELECTRICITY_SHARE,9.71,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_mex_renew,MEX,2024,RENEWABLE_ELECTRICITY_SHARE,21.12,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_nga_renew,NGA,2024,RENEWABLE_ELECTRICITY_SHARE,25,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_pak_renew,PAK,2024,RENEWABLE_ELECTRICITY_SHARE,37.2,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_zaf_renew,ZAF,2024,RENEWABLE_ELECTRICITY_SHARE,12.51,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_eth_renew,ETH,2024,RENEWABLE_ELECTRICITY_SHARE,100,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_egy_renew,EGY,2024,RENEWABLE_ELECTRICITY_SHARE,11.2,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_bgd_renew,BGD,2024,RENEWABLE_ELECTRICITY_SHARE,1.89,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_vnm_renew,VNM,2024,RENEWABLE_ELECTRICITY_SHARE,42.28,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_tha_renew,THA,2024,RENEWABLE_ELECTRICITY_SHARE,14.84,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_phl_renew,PHL,2024,RENEWABLE_ELECTRICITY_SHARE,20.47,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_mys_renew,MYS,2024,RENEWABLE_ELECTRICITY_SHARE,20.37,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_aut_renew,AUT,2024,RENEWABLE_ELECTRICITY_SHARE,86.22,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_bel_renew,BEL,2024,RENEWABLE_ELECTRICITY_SHARE,35.23,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_col_renew,COL,2024,RENEWABLE_ELECTRICITY_SHARE,61.34,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_dnk_renew,DNK,2024,RENEWABLE_ELECTRICITY_SHARE,89.19,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_fin_renew,FIN,2024,RENEWABLE_ELECTRICITY_SHARE,55.86,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_grc_renew,GRC,2024,RENEWABLE_ELECTRICITY_SHARE,49.23,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_hun_renew,HUN,2024,RENEWABLE_ELECTRICITY_SHARE,31.47,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_irl_renew,IRL,2024,RENEWABLE_ELECTRICITY_SHARE,46.53,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_isr_renew,ISR,2024,RENEWABLE_ELECTRICITY_SHARE,13.81,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_ita_renew,ITA,2024,RENEWABLE_ELECTRICITY_SHARE,50.17,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_nld_renew,NLD,2024,RENEWABLE_ELECTRICITY_SHARE,50.74,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_pol_renew,POL,2024,RENEWABLE_ELECTRICITY_SHARE,31.15,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_prt_renew,PRT,2024,RENEWABLE_ELECTRICITY_SHARE,85.19,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_sau_renew,SAU,2024,RENEWABLE_ELECTRICITY_SHARE,2.16,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_esp_renew,ESP,2024,RENEWABLE_ELECTRICITY_SHARE,57.34,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_swe_renew,SWE,2024,RENEWABLE_ELECTRICITY_SHARE,69.36,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_che_renew,CHE,2024,RENEWABLE_ELECTRICITY_SHARE,67.45,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_tur_renew,TUR,2024,RENEWABLE_ELECTRICITY_SHARE,45.61,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_are_renew,ARE,2024,RENEWABLE_ELECTRICITY_SHARE,8.81,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_nzl_renew,NZL,2024,RENEWABLE_ELECTRICITY_SHARE,85.98,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_zwe_renew,ZWE,2024,RENEWABLE_ELECTRICITY_SHARE,57.12,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_rus_renew,RUS,2024,RENEWABLE_ELECTRICITY_SHARE,18.1,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
ren24_aus_renew,AUS,2024,RENEWABLE_ELECTRICITY_SHARE,35.08,,percent,environment,electricity,compiled_estimate,OWID_EMBER_RENEWABLES_2024,HIGH,KNOWN,,,Share of electricity generation from renewables
