observation_id,source_id,time_id,place,variable_id,value_numeric,unit,evidence_type,confidence,notes
LOC_JB_COV_0017,LOC_NATIONAL_JUKEBOX,1916,United States,ARCHIVE_RECORD_COUNT,1660,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0018,LOC_NATIONAL_JUKEBOX,1917,United States,ARCHIVE_RECORD_COUNT,1576,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0019,LOC_NATIONAL_JUKEBOX,1918,United States,ARCHIVE_RECORD_COUNT,573,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0020,LOC_NATIONAL_JUKEBOX,1919,United States,ARCHIVE_RECORD_COUNT,566,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0021,LOC_NATIONAL_JUKEBOX,1920,United States,ARCHIVE_RECORD_COUNT,396,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0022,LOC_NATIONAL_JUKEBOX,1921,United States,ARCHIVE_RECORD_COUNT,415,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0023,LOC_NATIONAL_JUKEBOX,1922,United States,ARCHIVE_RECORD_COUNT,759,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0024,LOC_NATIONAL_JUKEBOX,1923,United States,ARCHIVE_RECORD_COUNT,928,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0025,LOC_NATIONAL_JUKEBOX,1924,United States,ARCHIVE_RECORD_COUNT,880,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0026,LOC_NATIONAL_JUKEBOX,1925,United States,ARCHIVE_RECORD_COUNT,156,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0027,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_RECORD_COUNT,18566,records,collection_facet,high,Current National Jukebox browse page reports 18,566 audio recordings
LOC_JB_COV_0028,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_RECORD_COUNT,13121,records,collection_facet,high,Current browse facet reports 13,121 Victor-labelled recordings
LOC_JB_COV_0029,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_RECORD_COUNT,5416,records,collection_facet,high,Current browse facet reports 5,416 Columbia-labelled recordings
LOC_JB_COV_0030,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,6402,records,collection_facet,high,Popular Music genre facet
LOC_JB_COV_0031,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,3015,records,collection_facet,high,Ethnic Music genre facet
LOC_JB_COV_0032,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,1558,records,collection_facet,high,Opera genre facet
LOC_JB_COV_0033,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,1456,records,collection_facet,high,Classical Music genre facet
LOC_JB_COV_0034,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,810,records,collection_facet,high,Musical Theater genre facet
LOC_JB_COV_0035,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,804,records,collection_facet,high,Ethnic Characterizations genre facet
LOC_JB_COV_0036,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,727,records,collection_facet,high,Humorous Songs genre facet
LOC_JB_COV_0037,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,654,records,collection_facet,high,Ragtime Jazz and More genre facet
LOC_JB_COV_0038,LOC_NATIONAL_JUKEBOX,ALL,United States,ARCHIVE_GENRE_RECORD_COUNT,553,records,collection_facet,high,Religious genre facet
